SIS Login ID,Section,Assignment 1 (244587),Assignment 2 (244588),Assignment 3 (244589),Midterm A (294264),Midterm B (294258),Midterm C (294270),Midterm D (326902),Survey 1 (277909),Survey 2 (326907),MetaSkills 1 (277916),MetaSkills 2 (326908),MetaSkills 3 (326911),MetaSkills 4 (326910),MetaSkills 5 (326909),MetaSkills 6 (326982),Week 2 Prepare Exercise (244603),Week 3 Prepare Exercise (244606),Week 4 Prepare Exercise (244609),Week 5 Prepare Exercise (244612),Week 6 Prepare Exercise (244614),Week 7 Prepare Exercise (244617),Week 8 Prepare Exercise (244620),Week 9 Prepare Exercise  (244623),Week 10 Prepare Exercise (244591),Week 11 Prepare Exercise (244594),Week 12 Prepare Exercise (244597),Week 2 Perform Exercise (244602),Week 3 Perform Exercise (244605),Week 4 Perform Exercise (244608),Week 6 Perform Exercise (244611),Week 7 Perform Exercise (244616),Week 8 Perform Exercise (244619),Week 9 Perform Exercise (244622),Week 10 Perform Exercise (244590),Week 11 Perform Exercise (244593),Week 12 Perform Exercise (244596),New Week 2 Prepare Exercise (323029),New Week 3 Prepare Exercise (323041),New Week 4 Prepare Exercise (323040),New Week 5 Prepare Exercise (323039),New Week 6 Prepare Exercise (323038),New Week 7 Prepare Exercise (323037),New Week 8 Prepare Exercise (323036),New Week 9 Prepare Exercise (323035),New Week 10 Prepare Exercise (323034),New Week 11 Prepare Exercise (323032),New Week 12 Prepare Exercise (323033),New Week 2 Rehearse Exercise (323090),New Week 3 Rehearse Exercise (323245),New Week 4 Rehearse Exercise (323244),New Week 5 Rehearse Exercise (323243),New Week 6 Rehearse Exercise (323242),New Week 7 Rehearse Exercise (323241),New Week 8 Rehearse Exercise (323240),New Week 9 Rehearse Exercise (323239),New Week 10 Rehearse Exercise (323238),New Week 11 Rehearse Exercise (323237),New Week 12 Rehearse Exercise (323236),New Week 2 Perform Exercise (323049),New Week 3 Perform Exercise (323061),New Week 4 Perform Exercise (323060),New Week 6 Perform Exercise (323058),New Week 7 Perform Exercise (323057),New Week 8 Perform Exercise (323056),New Week 9 Perform Exercise (323055),New Week 10 Perform Exercise (323054),New Week 11 Perform Exercise (323051),New Week 12 Perform Exercise (323052),Replacement Midterm Test (323697),Assignment 1 Current Score,Assignment 1 Unposted Current Score,Assignment 1 Final Score,Assignment 1 Unposted Final Score,Assignment 2 Current Score,Assignment 2 Unposted Current Score,Assignment 2 Final Score,Assignment 2 Unposted Final Score,Assignment 3 Current Score,Assignment 3 Unposted Current Score,Assignment 3 Final Score,Assignment 3 Unposted Final Score,Midterm Current Score,Midterm Unposted Current Score,Midterm Final Score,Midterm Unposted Final Score,Surveys Current Score,Surveys Unposted Current Score,Surveys Final Score,Surveys Unposted Final Score,MetaSkills Current Score,MetaSkills Unposted Current Score,MetaSkills Final Score,MetaSkills Unposted Final Score,Prepare Exercises (PCRS) Current Score,Prepare Exercises (PCRS) Unposted Current Score,Prepare Exercises (PCRS) Final Score,Prepare Exercises (PCRS) Unposted Final Score,Perform Exercises (PCRS) Current Score,Perform Exercises (PCRS) Unposted Current Score,Perform Exercises (PCRS) Final Score,Perform Exercises (PCRS) Unposted Final Score,New Prepare Exercises (PCRS) Current Score,New Prepare Exercises (PCRS) Unposted Current Score,New Prepare Exercises (PCRS) Final Score,New Prepare Exercises (PCRS) Unposted Final Score,New Rehearse Exercises (PCRS) Current Score,New Rehearse Exercises (PCRS) Unposted Current Score,New Rehearse Exercises (PCRS) Final Score,New Rehearse Exercises (PCRS) Unposted Final Score,New Perform Exercises (PCRS) Current Score,New Perform Exercises (PCRS) Unposted Current Score,New Perform Exercises (PCRS) Final Score,New Perform Exercises (PCRS) Unposted Final Score,Imported Assignments Current Score,Imported Assignments Unposted Current Score,Imported Assignments Final Score,Imported Assignments Unposted Final Score,Current Score,Unposted Current Score,Final Score,Unposted Final Score
f2dc0b3314cbdd1d63723a789cdaf3951fde5e61e765bf432e3b24df39a30f27c9c435e3a8ea87ed39c1ccf86b6d492a409b78fb4179efaa8dd11ddf581fae80,CSC108H1-S-LEC0301-20201,,,,53,,,,1,1,1,1,1,1,1,,0.5,0.5,0.5,0.5,0.5,,0.5,,0.5,,,1,1,1,1,,,1,0.4,0.25,0.97,0.4,0.4,0.4,0.39,0.4,0.4,0.4,0.4,0.4,,0.4,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1,1,1,1,1,1,1,0.47,0.25,0.47,0.0,,,0,0,,,0,0,,,0,0,75.71,75.71,75.71,75.71,100,100,100,100,100,100,100,100,100,100,70,70,91,91,73.56,73.56,100,100,99.75,99.75,100,100,100,100,88.22,88.22,88.22,88.22,0,0,0,0,91.48,91.48,63.99,63.99
5545d3cca5f84b825b74e7c87f863b56e4ceaed5046f93f02dd08115b2071d6b38dd7145fac3fe948bea228299296205c94de01670700e692ee9ce490b0aa064,CSC108H1-S-LEC0101-20201,,,,,43,,,,,1,,1,,,,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,,1,1,1,1,1,1,1,1,,,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1,1,1,1,1,1,1,1,1,1,,,,0,0,,,0,0,,,0,0,61.43,61.43,61.43,61.43,,,0,0,100,100,40,40,100,100,100,100,100,100,88.89,88.89,100,100,100,100,100,100,100,100,100,100,100,100,,,,,91.2,91.2,61.48,61.48
2baf41f9a286a95452baccd01635d4019e5dc4c0c5a129367bd90d8c2cb42e25c604a89b5d3c4b6ba2b838f3dd22e0494512aca7c0268a241f646425d80972c7,CSC108H1-S-LEC0301-20201,,,,,48,,,1,1,1,1,1,1,1,1,EX,0.5,0.5,0.5,0.5,,0.5,,0.5,0.5,0.5,0.91,0.09,0.99,1,1,1,1,1,1,0.93,0.4,0.4,0.4,0.39,0.4,0.4,0.4,0.4,0.4,0.4,0.4,1.5,1.5,1.5,1.5,1.5,1.5,1.12,1.5,1.5,0.97,0.9,1,1,1,1,1,1,1,1,1,1,,,,0,0,,,0,0,,,0,0,68.57,68.57,68.57,68.57,100,100,100,100,100,100,100,100,100,100,88.89,88.89,98.11,98.11,98.11,98.11,100,100,100,100,90.85,90.85,90.85,90.85,100,100,100,100,,,,,90.46,90.46,66.16,66.16
f23de7d377b52b5328ce75d3ff785f872fc21a934e78fc28faf95b65c0eeefdbce9048652b9ec918c93cea613b853cd4caa2a89ab537e012ae3a66fb4a2b0a66,CSC108H1-S-LEC0401-20201,,,,55,,,,1,1,1,1,1,1,1,1,0,0.5,0.5,0.5,0,0.5,0.5,0.5,0.5,0.5,0.5,1,1,1,1,1,1,1,1,1,1,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,1.5,1.5,1.5,1.5,1.5,1.5,1.12,1.5,1.5,1.5,1.5,1,1,1,1,1,1,1,1,1,1,,,,0,0,,,0,0,,,0,0,78.57,78.57,78.57,78.57,100,100,100,100,100,100,100,100,90,90,90,90,100,100,100,100,100,100,100,100,97.7,97.7,97.7,97.7,100,100,100,100,,,,,94.01,94.01,69.34,69.34
2a26888ffc8e1b7d05628d175c948200ba6b3a83e846f28c3c49f61875021823921e19cf04a05b93a3124007517058e3913f1085208ee9bf768d9291f1beeb19,CSC108H1-S-LEC0401-20201,,,,56,,,,1,1,1,1,1,1,1,,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,,1,1,1,1,1,1,1,1,1,1,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1,1,1,1,1,1,1,1,1,1,,,,0,0,,,0,0,,,0,0,80,80,80,80,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,,,,,95.59,95.59,70.5,70.5
640945954f1441f6c830aa8a1f5d5da34afcee2d27ddb40b537efa73985933ded8e24c9412c37ed41d9799999ba4664786bbe28aa183d79dcd362cc2dd9e80bf,CSC108H1-S-LEC5101-20201,,,,,,62,,1,1,1,1,1,1,1,,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,1,1,1,1,1,0.18,1,1,1,1,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1,1,1,1,1,1,1,1,1,1,,,,0,0,,,0,0,,,0,0,88.57,88.57,88.57,88.57,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,,,,,97.48,97.48,71.89,71.89
1d583603d898d7145a7cd48193490cda3dbb7e26a0fbedba27a07ca3aca8f932b2793cb07ea895a0ac40bd08509201ec19eefd29aa8f4e0ae81fecffbca1f58b,CSC108H1-S-LEC5101-20201,,,,,,42,,1,1,,1,1,1,1,1,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,,0.5,1,1,1,1,1,1,1,,1,1,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,,1.5,1,1,1,1,1,1,1,1,1,1,,,,0,0,,,0,0,,,0,0,60,60,60,60,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,90.91,90.91,100,100,100,100,,,,,91.19,91.19,65.55,65.55
c8696de58cace20ecfa8e14bd9142b7b151a8a09a8c6431e217172622450d6e701641a16b24ea4e8e73df30e8f6e8488403daba98bdea94f9b6b774257cf59b5,CSC108H1-S-LEC5102-20201,,,,,,66,,1,1,1,1,1,1,,,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,1,1,1,1,1,1,1,1,1,1,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1,1,1,1,1,1,1,1,1,1,,,,0,0,,,0,0,,,0,0,94.29,94.29,94.29,94.29,100,100,100,100,100,100,80,80,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,,,,,98.74,98.74,72.07,72.07
491e631077cc7a1f7fc602885f189605c6e03e02fabf838d6e1c263b720bae526136aac37e80456e20728c4c3f51178a5349ce97495f1978b67151573436604b,CSC108H1-S-LEC0201-20201,,,,,45,,,1,1,,,1,1,,,EX,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,1,1,1,1,,1,1,1,,1,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1,1,1,1,1,1,1,1,1,1,,,,0,0,,,0,0,,,0,0,64.29,64.29,64.29,64.29,100,100,100,100,100,100,40,40,100,100,100,100,100,100,88.89,88.89,100,100,100,100,100,100,100,100,100,100,100,100,,,,,92.13,92.13,64.45,64.45
c9c0ca230aab5b9fdf36bc2be8710bcb93826c362c093c640d115dec1b52fb110d14c0215527cf07017d80e7e8431813027070b4d0773720abcdf149662fb6d1,CSC108H1-S-LEC0401-20201,,,,64,,,,1,,,,,,,,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,,,0.5,1,1,1,1,1,1,1,1,1,1,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1,1,1,1,1,1,1,1,1,1,,,,0,0,,,0,0,,,0,0,91.43,91.43,91.43,91.43,100,100,50,50,,,0,0,100,100,90,90,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,,,,,98.01,98.01,66.86,66.86
d8feb607e87116fbc549014ee4f333642a40e65a47104d0330b39b4b8823684ee1fd17745591702547dc8db1b6a66bf9ed3aac8bf36b71bb9fd3d7d4a78c5d70,CSC108H1-S-LEC0101-20201,,,,,49,,,1,1,1,1,1,1,1,,0.5,0.5,0.5,0,0.5,0.5,0.5,0.5,0.5,0.5,0.5,1,1,1,1,1,1,1,1,1,1,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.33,0.4,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1,1,1,1,0.03,0.73,1,1,0.25,1,,,,0,0,,,0,0,,,0,0,70,70,70,70,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,88.67,88.67,88.67,88.67,,,,,91.66,91.66,67.6,67.6
f177bf0991a0338fe2cc59a9e3f601773ec8d731848246cb73e47f44a5d7c9289b29ff55d2fdf07bf859eb1c6149fd2975a1a9160f4a027b52a5f58728bdb931,CSC108H1-S-LEC0301-20201,,,,63,,,,1,1,1,1,1,1,1,,0.17,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,1,1,1,1,1,1,1,1,1,1,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1,1,1,1,1,1,1,1,1,1,,,,0,0,,,0,0,,,0,0,90,90,90,90,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,,,,,97.8,97.8,72.13,72.13
